Date,Aircraft type,Registration,Operator,Fatalities,Location,Damage,Manufacturer,Model,Year
2020-12-09,shijiazhuang y-5b,B-8242,xinjiang general aviation,0,Urumqi,write-off,shijiazhuang,y-5b,2020
2020-12-09,antonov an-2r,UR-33642,private,1,Zolota Sloboda,write-off,antonov,an-2r,2020
2020-12-10,gulfstream aerospace g-1159a gulfstream iii,(N370JL),private,0,southern Belize,write-off,gulfstream,g-1159a gulfstream iii,2020
2020-12-13,eclipse 500,N686TM,private,0,Leadville,substantial,eclipse,500,2020
2020-12-16,embraer emb-500 phenom 100,N661EP,executive aviation investors,0,Jacksonville Executive at Craig,substantial,embraer,emb-500 phenom 100,2020
2020-12-19,british aerospace bae-125-700a,(N326TD),private,1,Parque Nacional Sierra de Lacandon,write-off,british aerospace,bae-125-700a,2020
2020-12-20,raytheon hawker 800xp,N412JA,talon air,0,Farmingdale,substantial,raytheon hawker,800xp,2020
2020-12-22,cessna 525 citation m2,PR-HFT,la barca empreendimentos ltda,0,Uberlândia,substantial,cessna,525 citation m2,2020
2020-12-23,airbus a320-232,N463UA,united airlines,0,Houston,none,airbus,a320-232,2020
2020-12-30,cessna 208b supervan 900,PZ-TSK,blue wing airlines,0,Kawemhaken,substantial,cessna,208b supervan 900,2020
2019-01-07,saab 340b,YL-RAF,raf-avia,0,Savonlinna,substantial,saab,340b,2019
2019-01-12,boeing 737-524 (wl),VQ-BJP,utair aviation,0,Moskva,substantial,boeing,737-524 (wl),2019
2019-01-12,canadair cl-600-2a12 challenger 601,N813WT,tw 601-c investment,0,Uvalde,substantial,canadair,cl-600-2a12 challenger 601,2019
2019-01-14,boeing 707-3j9c,EP-CPP,saha air lsf islamic republic of iran air force,15,Fat'h,write-off,boeing,707-3j9c,2019
2019-01-16,cessna 208b grand caravan,8R-YAC,air services limited,0,Georgetown,substantial,cessna,208b grand caravan,2019
2019-01-18,boeing 777-212er,9V-SQL,singapore airlines,0,en route Melbourne,none,boeing,777-212er,2019
2019-01-21,aero modifications ami dc-3-65tp,N467KS,priority air charter,2,Kidron,substantial,aero modifications ami,dc-3-65tp,2019
2019-01-22,boeing 737-8lj (wl),VP-BRR,aeroflot russian international airlines,0,Khanty,none,boeing,737-8lj (wl),2019
2019-01-23,de havilland canada dhc-8-102 dash 8,C-GTCO,air creebec,0,Rouyn,substantial,de havilland canada,dhc-8-102 dash 8,2019
2019-01-26,airbus a321-231,TC-OEB,onur air,0,Antalya,substantial,airbus,a321-231,2019
2019-01-28,airbus a320-214 (wl),N220FR,frontier airlines,0,Denver,substantial,airbus,a320-214 (wl),2019
2019-01-28,boeing 727-2b6 adv. (f),N720CK,kalitta charters,0,Tuscaloosa,substantial,boeing,727-2b6 adv. (f),2019
2019-01-28,atr 72-500 (72-212a),EC-LYJ,swiftair,0,Palma de Mallorca,substantial,atr,72-500 (72-212a),2019
2019-01-29,beechcraft b200 king air,N13LY,guardian flight,3,Kake,write-off,beechcraft,b200 king air,2019
2019-01-30,beechcraft 200 super king air,C-GTUC,air tindi,2,Whatì,write-off,beechcraft,200 super king air,2019
2019-02-03,boeing 787-8 dreamliner,N26909,united airlines,0,Pacific Ocean,none,boeing,787-8 dreamliner,2019
2019-02-04,boeing 737-332,ST-TAL,tarco air,0,Khartoum,none,boeing,737-332,2019
2019-02-05,boeing 737-823 (wl),N852NN,american airlines,0,Bluefields,none,boeing,737-823 (wl),2019
2019-02-08,airbus a321-251n,SE-RKA,novair,0,Billund,substantial,airbus,a321-251n,2019
2019-02-08,convair c-131b samaritan,N145GT,conquest air cargo,1,Bay Harbor s,write-off,convair,c-131b samaritan,2019
2019-02-09,cessna 208 caravan i,PR-RTA,rico taxi aéreo,0,Caracaraí,substantial,cessna,208 caravan i,2019
2019-02-09,embraer erj 190ar (erj-190-100 igw),5Y-FFF,kenya airways,0,Nairobi,substantial,embraer,190ar (erj-190-100 igw),2019
2019-02-09,embraer erj 190ar (erj-190-100 igw),5Y-KYR,kenya airways,0,Nairobi,substantial,embraer,190ar (erj-190-100 igw),2019
2019-02-11,raytheon beechjet 400a,N750TA,stein's aircraft services,0,Richmond,substantial,raytheon hawker,400a,2019
2019-02-13,embraer erj-175lr (erj-170-200 lr),N613CZ,compass airlines,0,Reno,minor,embraer,erj-175lr (erj-170-200 lr),2019
2019-02-13,de havilland canada dhc-6 twin otter 300,PJ-WII,winair,0,Saint,none,de havilland canada,dhc-6 twin otter 300,2019
2019-02-13,boeing 787-9 dreamliner,PH-BHA,klm royal dutch airlines,0,Amsterdam,minor,boeing,787-9 dreamliner,2019
2019-02-13,boeing 747-406m,PH-BFV,klm royal dutch airlines,0,Amsterdam,minor,boeing,747-406m,2019
2019-02-17,boeing 737-832 (wl),N3730B,delta airlines,0,Franklin,none,boeing,737-832 (wl),2019
2019-02-23,boeing 767-375er (bcf) (wl),N1217A,atlas air,3,Trinity Bay,write-off,boeing,767-375er (bcf) (wl),2019
2019-02-24,boeing 737-8e9 (wl),S2-AHV,biman bangladesh airlines,1,Chittagong,minor,boeing,737-8e9 (wl),2019
2019-02-25,de havilland canada eo-5c (dhc-7-102),N89068,united states army,0,Pyongtaek,substantial,de havilland canada,eo-5c (dhc-7-102),2019
2019-02-26,gulfstream g200 galaxy,4K-AZ88,silk way business aviation,0,Moskva,substantial,gulfstream,g200 galaxy,2019
2019-02-27,boeing 777-223er,N771AN,american airlines,0,Honolulu,none,boeing,777-223er,2019
2019-02-28,embraer erj-195lr (erj-190-200 lr),G-FBEJ,flybe,0,Exeter,none,embraer,erj-195lr (erj-190-200 lr),2019
2019-03-02,de havilland canada dhc-8-402q dash 8,G-JECN,flybe,0,Southampton,substantial,de havilland canada,dhc-8-402q dash 8,2019
2019-03-03,bombardier bd-100 challenger 350,N715CG,private,0,Eufaula,write-off,bombardier,bd-100 challenger 350,2019
2019-03-03,airbus a320-214 (wl),PR-OCW,avianca brasil,0,Rio de Janeiro,substantial,airbus,a320-214 (wl),2019
2019-03-03,honda ha-420 hondajet,N105HJ,banyan jet service,0,Eufaula,write-off,honda,ha-420 hondajet,2019
2019-03-03,beechcraft 1900d,7T-VIO,tassili airlines,0,Ouargla,substantial,beechcraft,1900d,2019
2019-03-04,cessna 208b grand caravan,C-FAFV,amik aviation,0,Little Grand Rapids,substantial,cessna,208b grand caravan,2019
2019-03-04,embraer emb-145xr,N14171,commutair,0,Presque Isle,substantial,embraer,emb-145xr,2019
2019-03-07,learjet 35a,LV-BNR,baires fly,0,Buenos Aires,substantial,learjet,35a,2019
2019-03-09,gulfstream g-iv,N505GF,waffle house,0,Atlanta,substantial,gulfstream,g-iv,2019
2019-03-09,douglas dc-3,HK-2494,laser aéreo colombia,14,Finca La Bendición,write-off,mcdonnell douglas,dc-3,2019
2019-03-10,boeing 737-832 (wl),N3756,delta airlines,0,Atlanta,substantial,boeing,737-832 (wl),2019
2019-03-10,bombardier crj-900lr,N569NN,psa airlines,0,Charlotte,substantial,bombardier,crj-900lr,2019
2019-03-10,bombardier cl-600-2c10 regional jet crj-702er,N530EA,psa airlines,0,Charlotte,substantial,bombardier,cl-600-2c10 regional jet crj-702er,2019
2019-03-10,hawker siddeley hs-125-600a,FAKE REG.,private,1,San Pedro Peralta,write-off,raytheon hawker,hs-125-600a,2019
