Date,Aircraft type,Registration,Operator,Fatalities,Location,Damage,Manufacturer,Model,Year
2019-08-02,shijiazhuang y-5b(d),B-50OC,liaoning star general aviation,0,Longmen Farm,substantial,shijiazhuang,y-5b(d),2019
2019-08-02,boeing 787-8 dreamliner,C-GHPU,air canada,0,Vancouver,minor,boeing,787-8 dreamliner,2019
2019-08-02,airbus a340-313,HB-JMF,edelweiss air,0,Vancouver,substantial,airbus,a340-313,2019
2019-08-04,antonov an-2,RT-15-305,dosaaf tajikistan,1,Fakhrabad,write-off,antonov,an-2,2019
2019-08-05,airbus a320-232,N432UA,united airlines,0,San Francisco,substantial,airbus,a320-232,2019
2019-08-06,cessna 510 citation mustang,CC-ANR,private,1,Los Ángeles,write-off,cessna,510 citation mustang,2019
2019-08-06,cessna 208b supervan 900,C-FSKF,alkan air,2,Mayo,write-off,cessna,208b supervan 900,2019
2019-08-06,cessna 208b grand caravan,5H-NOW,tropical air,0,Mafia,write-off,cessna,208b grand caravan,2019
2019-08-06,ilyushin il-76td,UR-COZ,skyaviatrans,0,Misrata,write-off,ilyushin,il-76td,2019
2019-08-06,cessna 560xls+ citation xls+,D-CAWM,aerowest,0,Aarhus,write-off,cessna,560xls+ citation xls+,2019
2019-08-07,british aerospace 3201 jetstream 32,HK-4540,sarpa,0,Bahía Solano,substantial,british aerospace,3201 jetstream 32,2019
2019-08-07,hs-125/bae-125,,unknown,0,Las Pilas,write-off,unknown,hs-125/bae-125,2019
2019-08-08,airbus a320-232,N505JB,jetblue airways,0,Charlottesville,none,airbus,a320-232,2019
2019-08-08,bombardier cl-600-2b16 challenger 604,N237QS,netjets,0,Lubbock,none,bombardier,cl-600-2b16 challenger 604,2019
2019-08-08,airbus a321-211 (wl),N717FR,frontier airlines,0,Orlando,substantial,airbus,a321-211 (wl),2019
2019-08-10,canadair cl-600-2b16 challenger 601,N602TS,private,0,Nassau,substantial,canadair,cl-600-2b16 challenger 601,2019
2019-08-12,boeing 787-9 dreamliner,G-CKWB,norwegian air uk,0,London,minor,boeing,787-9 dreamliner,2019
2019-08-14,de havilland canada dhc-6 twin otter 200,T-82,fuerza aérea argentina,0,Base Marambio,substantial,de havilland canada,dhc-6 twin otter 200,2019
2019-08-14,beechcraft super king air,XB-...,unknown,0,El Ramonal,write-off,beechcraft,super king air,2019
2019-08-15,boeing 787-8 dreamliner,JA808A,all nippon airways,0,Over Chengde,none,boeing,787-8 dreamliner,2019
2019-08-15,de havilland canada dhc-6 twin otter 300,N322AV,berry aviation,0,San Marcos,substantial,de havilland canada,dhc-6 twin otter 300,2019
2019-08-15,cessna 680a citation latitude,N8JR,jrm air,0,Elizabethton,write-off,cessna,680a citation latitude,2019
2019-08-15,airbus a321-211,VQ-BOZ,ural airlines,0,Zhukovsky,substantial,airbus,a321-211,2019
2019-08-16,de havilland canada dhc-8-200,5Y-SLM,safarilink,0,Kichwa Tembo,substantial,de havilland canada,dhc-8-200,2019
2019-08-18,cessna 208b grand caravan ex,N879MA,mokulele airlines,0,Kapalua,substantial,cessna,208b grand caravan ex,2019
2019-08-18,boeing 757-251 (wl),N543US,delta airlines,0,Ponta Delgada,substantial,boeing,757-251 (wl),2019
2019-08-21,airbus a340-642,G-VFIT,virgin atlantic airways,0,over Black Sea,none,airbus,a340-642,2019
2019-08-21,cessna 750 citation x,1060,fuerza aérea venezolana,0,Caracas,write-off,cessna,750 citation x,2019
2019-08-21,cessna 208b super cargomaster,C-FEXE,morningstar air express,0,Vancouver,substantial,cessna,208b super cargomaster,2019
2019-08-21,cessna 560xl citation excel,N91GY,delta private jets,0,Oroville,write-off,cessna,560xl citation excel,2019
2019-08-22,airbus a380-861,A6-EOP,emirates,0,Dubai,substantial,airbus,a380-861,2019
2019-08-23,antonov an-2t,OK-TIR,club tiroler adler,0,Gmunden,substantial,antonov,an-2t,2019
2019-08-25,lockheed c-130a hercules,N119TG,international air response,0,Santa Barbara,substantial,lockheed martin,c-130a hercules,2019
2019-08-26,mcdonnell douglas md-88,N911DL,delta airlines,0,Chicago,none,mcdonnell douglas,md-88,2019
2019-08-27,airbus a320-251n,N328FR,frontier airlines,0,Denver,none,airbus,a320-251n,2019
2019-08-27,airbus a330-343,B-5958,air china,0,Beijing,substantial,airbus,a330-343,2019
2019-08-27,cessna 560xl citation excel,VT-AVV,air charter services,0,Aligarh,write-off,cessna,560xl citation excel,2019
2019-08-28,cessna 525 citationjet cj1+,D-ICEY,lenox handels und speditions gmbh,0,Egelsbach,substantial,cessna,525 citationjet cj1+,2019
2019-08-28,antonov an-2r,RA-40389,private,0,Selektsionny,substantial,antonov,an-2r,2019
2019-08-30,antonov an-2r,RA-33061,private,2,Lake Syuryun,write-off,antonov,an-2r,2019
2019-08-31,cessna 510 citation mustang,N551WH,star jet,0,El Monte,substantial,cessna,510 citation mustang,2019
2019-09-01,airbus a330-202,5A-LAU,libyan airlines,0,Tripoli,minor,airbus,a330-202,2019
2019-09-01,beechcraft b300 king air 350,RP-C2296,lion air,9,Pansol,write-off,beechcraft,b300 king air 350,2019
2019-09-02,british aerospace bae-125-700a,XB-PTW,private,2,Nueva Cajolá,write-off,british aerospace,bae-125-700a,2019
2019-09-05,cessna 560xls+ citation xls+,OE-GES,jet 24 gmbh,0,Milano,substantial,cessna,560xls+ citation xls+,2019
2019-09-06,airbus a319-132,N515NK,spirit airlines,0,Fort Myers,none,airbus,a319-132,2019
2019-09-07,atr 72-600 (72-212a),HK-5041,regional express américas,0,Manizales,substantial,atr,72-600 (72-212a),2019
2019-09-09,airbus a319-112,D-AKNL,eurowings,0,Berlin,none,airbus,a319-112,2019
2019-09-11,bombardier crj-701er,N765SK,skywest airlines,0,Chicago,substantial,bombardier,crj-701er,2019
2019-09-11,bombardier crj-701er,N710SK,skywest airlines,0,Chicago,substantial,bombardier,crj-701er,2019
2019-09-11,british aerospace bae-125-700a,XB-SMV,private,0,Chencoh,unknown,british aerospace,bae-125-700a,2019
2019-09-11,cessna 208 supervan 900,D-FIDI,gojump,1,Gransee,write-off,cessna,208 supervan 900,2019
2019-09-11,convair cv-440,N24DR,ferreteria e implementos san francisco,2,Toledo,write-off,convair,cv-440,2019
2019-09-16,cessna 208b grand caravan,PT-MHC,twoflex,0,Manaus,write-off,cessna,208b grand caravan,2019
2019-09-18,britten-norman bn-2a-21 islander,V6-03FM,caroline islands air,0,Ta,write-off,britten-norman,bn-2a-21 islander,2019
2019-09-18,viking air dhc-6 twin otter 400,PK-CDC,carpediem aviation,4,Kampung Mamontoga,write-off,viking air,dhc-6 twin otter 400,2019
2019-09-20,cessna 208b grand caravan,N895SF,private,0,Pepperell,substantial,cessna,208b grand caravan,2019
2019-09-23,britten-norman bn-2a-27 islander,VP-MNI,flymontserrat,0,Montserrat,substantial,britten-norman,bn-2a-27 islander,2019
2019-09-23,cessna 208b grand caravan ex,5H-AAM,auric air,2,Seronera,write-off,cessna,208b grand caravan ex,2019
2019-09-24,cessna 208b grand caravan,YVO134,gobernación del estado bolívar,0,San Salvador de Paúl,substantial,cessna,208b grand caravan,2019
2019-09-24,cessna 208 caravan,1917,department of royal rainmaking and agricultural aviation,2,Village no.9 Lum Sum Sai Yok District Kanchanaburi Province,write-off,cessna,208 caravan,2019
2019-09-30,antonov an-12bk,UR-CKL,cavok air,0,Liverpool,substantial,antonov,an-12bk,2019
2019-09-30,gulfstream american g-1159 gulfstream ii b,XB-PVO,private,0,Blue Creek,write-off,gulfstream,g-1159 gulfstream ii b,2019
2019-10-01,boeing 777-31her,A6-EBU,emirates,0,Batam,none,boeing,777-31her,2019
2019-10-02,boeing b-17g flying fortress,N93012,the collings foundation,7,Windsor Locks,write-off,boeing,b-17g flying fortress,2019
2019-10-04,antonov an-12bk,UR-CAH,ukraine air alliance,5,Lviv,substantial,antonov,an-12bk,2019
2019-10-07,hawker 800xp,N86MN,delta private jets,0,Fort Myers,substantial,raytheon hawker,800xp,2019
2019-10-07,honda ha-420 hondajet,N166HJ,pro by air,0,Charleston,substantial,honda,ha-420 hondajet,2019
2019-10-10,antonov an-72,EK-72903,air force of the democratic republic of the congo,8,Kole,write-off,antonov,an-72,2019
2019-10-11,de havilland canada dhc-6 twin otter 100,N166DH,skydive georgia,0,Cedartown,substantial,de havilland canada,dhc-6 twin otter 100,2019
2019-10-11,fokker 50,5Y-IZO,silverstone air services,0,Nairobi,write-off,fokker,50,2019
2019-10-12,embraer emb-110p1 bandeirante,C6-KMC,pineapple air,0,Nassau,minor,embraer,emb-110p1 bandeirante,2019
2019-10-12,atr 42-600,JA01JC,japan air commuter,0,65 km north,none,atr,42-600,2019
2019-10-16,bombardier global express,N307KP,elite air,0,Augusta,none,bombardier,global express,2019
2019-10-17,saab 2000,N686PA,penair,1,Unalaska,substantial,saab,2000,2019
2019-10-18,airbus cc-150 polaris (a310-300),15001,royal canadian air force,0,Trenton Canadian Forces Base,substantial,airbus,cc-150 polaris (a310-300),2019
2019-10-18,douglas dc-3c,N437GB,atlantic air cargo,0,Nassau,unknown,mcdonnell douglas,dc-3c,2019
2019-10-22,canadair cl-600-2b19 regional jet crj-200lr,N8837B,endeavor air,0,Atlanta,substantial,canadair,cl-600-2b19 regional jet crj-200lr,2019
2019-10-22,basler bt-67 turbo 67 (dc-3t),FAS116,fuerza aérea salvadoreña,0,San Salvador,substantial,basler,bt-67 turbo 67 (dc-3t),2019
2019-10-25,rockwell sabreliner 65,N465BC,private,0,Sipacate,write-off,rockwell sabreliner,65,2019
2019-10-25,beechcraft 200 super king air,,private,0,Palajuyú,substantial,beechcraft,200 super king air,2019
2019-10-26,de havilland canada dhc-3t/m601 turbine otter,C-GBTU,blue water aviation services,3,Family Lake,write-off,de havilland canada,dhc-3t/m601 turbine otter,2019
2019-10-26,airbus a330-341,PK-GPE,garuda indonesia airways,0,Banda Aceh,none,airbus,a330-341,2019
2019-10-27,gulfstream american g-1159 gulfstream ii sp,(N530GA),private,0,Vista Hermosa,write-off,gulfstream,g-1159 gulfstream ii sp,2019
2019-10-27,let l-410uvp,YI-BYO,abeer air services,0,Kolnyang County,write-off,let,l-410uvp,2019
2019-10-29,de havilland canada dhc-8-402q dash 8,N402QX,horizon air,0,Boise,substantial,de havilland canada,dhc-8-402q dash 8,2019
2019-10-31,cessna 208b super cargomaster,N926FE,corporate air,0,Honolulu,minor,cessna,208b super cargomaster,2019
2019-11-03,boeing 787-8 dreamliner,N796AV,avianca,0,Barcelona,none,boeing,787-8 dreamliner,2019
2019-11-05,learjet 35a,XA-VBD,usmx airlink,0,San Jose Cabo,substantial,learjet,35a,2019
2019-11-11,boeing 747-428erf,TC-ACR,act airlines,0,Istanbul,none,boeing,747-428erf,2019
2019-11-11,british aerospace bae-125-700a,(N237DX),private,0,Petén,write-off,british aerospace,bae-125-700a,2019
2019-11-11,embraer emb-145lr (erj-145lr),N619AE,envoy air,0,Chicago,substantial,embraer,emb-145lr (erj-145lr),2019
2019-11-14,cessna 550 citation ii,PT-LTJ,josé joão abdalla filho,5,Maraú,write-off,cessna,550 citation ii,2019
2019-11-15,cessna 560 citation encore,N777HW,etg aviation,0,San Antonio,substantial,cessna,560 citation encore,2019
2019-11-15,cessna 525b citationjet cj3,N973CG,pilot point consultancy,0,San Antonio,substantial,cessna,525b citationjet cj3,2019
2019-11-16,bombardier crj-900,,unknown,0,Düsseldorf,substantial,bombardier,crj-900,2019
2019-11-16,airbus a330-243,V5-ANO,air namibia,0,Frankfurt,minor,airbus,a330-243,2019
2019-11-16,boeing 777-3b5er,HL7204,korean air,0,Frankfurt,substantial,boeing,777-3b5er,2019
2019-11-21,boeing 737-8f2 (wl),TC-JGZ,turkish airlines,0,Odessa,substantial,boeing,737-8f2 (wl),2019
2019-11-21,gulfstream g150,TC-AEH,tahe havacilik,0,Odessa,substantial,gulfstream,g150,2019
2019-11-22,boeing 737-401,YV3012,avior airlines,0,Bogotá,substantial,boeing,737-401,2019
2019-11-23,boeing 737-800,,unknown,0,Nürnberg,none,boeing,737-800,2019
2019-11-23,beechcraft b200 king air,(XB-PYB),private,0,Saint,write-off,beechcraft,b200 king air,2019
2019-11-24,dornier 228-201,9S-GNH,busy bee congo,27,Goma,write-off,dornier,228-201,2019
2019-11-25,de havilland canada dhc-8-311 dash 8,9J-PZB,proflight air services,0,Lusaka,substantial,de havilland canada,dhc-8-311 dash 8,2019
2019-11-25,mcdonnell douglas md-88,N975DL,delta airlines,0,Atlanta,substantial,mcdonnell douglas,md-88,2019
2019-11-26,cessna 208b grand caravan,,tropicair,0,Gasmata,none,cessna,208b grand caravan,2019
2019-12-01,british aerospace bae-125-700a,N949CL,private,0,El Picudo,write-off,british aerospace,bae-125-700a,2019
2019-12-01,beechcraft b99 airliner,C6-FER,flamingo air charter,0,Black Point,substantial,beechcraft,b99 airliner,2019
2019-12-02,british aerospace bae-125-700a,,private,0,San Andrés Villa Seca,write-off,british aerospace,bae-125-700a,2019
2019-12-03,british aerospace bae-125-800a,N469RJ,business jet managers,0,Detroit,substantial,british aerospace,bae-125-800a,2019
2019-12-03,basler bt-67 turbo 67 (dc-3t),C-FKAL,north star air,0,Sachigo Lake,substantial,basler,bt-67 turbo 67 (dc-3t),2019
2019-12-04,beechcraft 200 super king air,,private,2,Sayaxché,write-off,beechcraft,200 super king air,2019
2019-12-06,british aerospace bae-125-800a,(N293WB),private,0,Chan Chen,write-off,british aerospace,bae-125-800a,2019
2019-12-09,lockheed c-130h hercules,990,fuerza aérea de chile,38,King George,write-off,lockheed martin,c-130h hercules,2019
2019-12-09,cessna 208b super cargomaster,N4602B,martinaire,1,Victoria,write-off,cessna,208b super cargomaster,2019
2019-12-10,de havilland canada dhc-8-402q dash 8,ET-AQC,ethiopian airlines,0,Juba,substantial,de havilland canada,dhc-8-402q dash 8,2019
2019-12-15,airbus a330-202,VH-EBC,qantas,0,69 km south east Bathurst,none,airbus,a330-202,2019
2019-12-15,embraer emb-145lr,N648AE,piedmont airlines,0,Philadelphia,none,embraer,emb-145lr,2019
2019-12-15,grumman american g-1159 gulfstream iisp,(XB-BZH),private,0,Quiché,write-off,grumman,g-1159 gulfstream iisp,2019
2019-12-16,embraer erj-140lr,N805AE,envoy air,0,Alexandria,none,embraer,erj-140lr,2019
2019-12-16,airbus a330-243,EC-LQO,air europa,0,Madrid,none,airbus,a330-243,2019
2019-12-16,beechcraft 200 super king air,,private,0,Sarteneja airstrip,write-off,beechcraft,200 super king air,2019
2019-12-17,beechcraft b300 king air 350,N160RW,ritch air,0,Visalia,substantial,beechcraft,b300 king air 350,2019
2019-12-18,embraer erj-190ar,N959UW,american airlines,0,Disputanta,none,embraer,erj-190ar,2019
2019-12-18,beechcraft 200 super king air,N72MM,wl aviation,0,Fresno Yosemite,substantial,beechcraft,200 super king air,2019
2019-12-18,cessna 525a citationjet cj2,C-GOJG,c-ghgr holdings,0,Scottsbluff,substantial,cessna,525a citationjet cj2,2019
2019-12-18,beechcraft 200 super king air,,private,0,El Chico,write-off,beechcraft,200 super king air,2019
2019-12-19,boeing 737-924er (wl),N68802,united airlines,0,Chicago,none,boeing,737-924er (wl),2019
2019-12-19,beechcraft a100 king air,YV1104,representaciones aero3,9,Charallave,write-off,beechcraft,a100 king air,2019
2019-12-21,boeing 737-7bd (wl),N7739A,southwest airlines,0,Kansas,substantial,boeing,737-7bd (wl),2019
2019-12-22,boeing 737-824 (wl),N87513,united airlines,0,Denver,substantial,boeing,737-824 (wl),2019
2019-12-24,cessna 208b grand caravan,XA-TWN,calafia airlines,2,Tastiota,write-off,cessna,208b grand caravan,2019
2019-12-25,airbus a320-232 (wl),B-50001,tigerair taiwan,0,Miyazaki,none,airbus,a320-232 (wl),2019
2019-12-27,cirrus sf50 vision jet,N52CV,private,0,Santa Monica,substantial,cirrus,sf50 vision jet,2019
2019-12-27,fokker 100,UP-F1007,bek air,12,Almaty,write-off,fokker,100,2019
2019-12-28,let l-410uvp-e,9S-GDX,air fast congo,0,Kamina,substantial,let,l-410uvp-e,2019
2019-12-29,cessna 560xl citation xls,LV-FQD,sunny sky,0,Otamendi,substantial,cessna,560xl citation xls,2019
2018-01-01,airbus a319-111,G-EZII,easyjet,0,Barcelona,none,airbus,a319-111,2018
2018-01-03,airbus a319-131,G-DBCA,british airways,0,Verona Villafranca,none,airbus,a319-131,2018
2018-01-04,gulfstream g150,OE-GKA,private airlines germany,1,Kittilä,substantial,gulfstream,g150,2018
2018-01-05,boeing 737-8fh (wl),C-FPRP,sunwing airlines,0,Toronto,substantial,boeing,737-8fh (wl),2018
2018-01-05,boeing 737-8ct (wl),C-FDMB,westjet,0,Toronto,substantial,boeing,737-8ct (wl),2018
2018-01-06,boeing 777-369er,9K-AOC,kuwait airways,0,New York,substantial,boeing,777-369er,2018
2018-01-06,antonov an-2tp,YV1944,unknown,0,La Paragua,write-off,antonov,an-2tp,2018
2018-01-07,cessna 208b grand caravan,5Y-FDC,unknown,1,Akobo,write-off,cessna,208b grand caravan,2018
2018-01-09,embraer emb-110p1 bandeirante,C6-MIC,pineapple air,0,Governor's Harbour,substantial,embraer,emb-110p1 bandeirante,2018
2018-01-10,de havilland canada dhc-8-402q dash 8,SP-EQG,lot polskie linie lotnicze,0,Warszawa,substantial,de havilland canada,dhc-8-402q dash 8,2018
2018-01-10,gulfstream g200,RP-C280,air taxi ph,0,Legazpi,substantial,gulfstream,g200,2018
2018-01-10,fairchild sa227-at merlin ivc,N561UP,ameriflight,0,Rock Springs,substantial,fairchild,sa227-at merlin ivc,2018
2018-01-13,boeing 737-82r (wl),TC-CPF,pegasus airlines,0,Trabzon,substantial,boeing,737-82r (wl),2018
2018-01-15,airbus a319-111,5A-ONC,afriqiyah airways,0,Tripoli,substantial,airbus,a319-111,2018
2018-01-16,antonov an-2,,kazakhstan air defence force,0,Zhetygen Air Base,write-off,antonov,an-2,2018
2018-01-16,british aerospace bae-748-347 srs. 2a,S2-AAX,bismillah airlines,0,Jessore,substantial,british aerospace,bae-748-347 srs. 2a,2018
2018-01-17,embraer erj-190ar,5H-FJI,fastjet,1,Mwanza,none,embraer,erj-190ar,2018
2018-01-17,iptn/casa cn-235m-100,98-148,türk hava kuvvetleri,3,Hodulluca Mevkii,write-off,casa,cn-235m-100,2018
2018-01-18,convair cv-580f,XA-TRB,air tribe,0,Brownsville,substantial,convair,cv-580f,2018
2018-01-20,let l-410uvp,UR-VTV,galeyr airline,0,Mogadishu,substantial,let,l-410uvp,2018
2018-01-20,embraer emb-120er brasilia,5Y-CEI,delegation of the eu to somalia lsf airtraffic africa,0,Mogadishu,unknown,embraer,emb-120er brasilia,2018
2018-01-25,airbus a320,,unknown,0,Berlin,substantial,airbus,a320,2018
2018-01-25,gulfstream g200,5N-BTF,nestoil,0,Abuja,substantial,gulfstream,g200,2018
2018-01-29,shaanxi y-8gx-3,30513,people's liberation army,12,Zhengchang,write-off,shaanxi,y-8gx-3,2018
2018-02-01,airbus a330-202,,qantas,0,Sydney,none,airbus,a330-202,2018
2018-02-04,raytheon beechjet 400a,N570TM,travel management,0,Cleveland,substantial,raytheon hawker,400a,2018
2018-02-10,boeing 737-8as (wl),EI-EKI,ryanair,0,Canaries airspace,none,boeing,737-8as (wl),2018
2018-02-11,antonov an-148-100b,RA-61704,saratov airlines,71,Stepanovskoye,write-off,antonov,an-148-100b,2018
2018-02-13,airbus a330-223,N858NW,delta airlines,0,Lagos,none,airbus,a330-223,2018
2018-02-16,fokker 100,EP-FQF,qeshm air,0,Mashhad,substantial,fokker,100,2018
2018-02-18,atr 72-212,EP-ATS,iran aseman airlines,66,Yasuj,write-off,atr,72-212,2018
2018-02-20,mcdonnell douglas md-83,5N-SRI,dana air,0,Port Harcourt,substantial,mcdonnell douglas,md-83,2018
2018-02-21,cessna 208b grand caravan,G-BZAH,army parachute association,0,Netheravon,minor,cessna,208b grand caravan,2018
2018-02-23,beechcraft b100 king air,C-GIAE,island express air,0,Abbotsford,substantial,beechcraft,b100 king air,2018
2018-02-24,airbus a330-323,N817NW,delta airlines,0,Minneapolis,none,airbus,a330-323,2018
2018-02-26,beechcraft a100 king air,C-GJXF,strait air,0,Havre,substantial,beechcraft,a100 king air,2018
2018-02-28,airbus a320-214,ES-SAN,smartlynx airlines estonia,0,Tallinn,substantial,airbus,a320-214,2018
2018-03-01,beechcraft 200 super king air,YV1909,unknown,0,Charallave,substantial,beechcraft,200 super king air,2018
2018-03-04,boeing 737-322 (sf),9S-ASG,serve air,0,Lubumbashi,substantial,boeing,737-322 (sf),2018
2018-03-06,antonov an-26,RF-92955/52,russian air force,39,Latakia,write-off,antonov,an-26,2018
2018-03-10,learjet 31,N500MP,n500mp,0,Mount Pleasant,substantial,learjet,31,2018
2018-03-11,bombardier cl-600-2b16 challenger 604,TC-TRB,mc aviation,11,Shahr,write-off,bombardier,cl-600-2b16 challenger 604,2018
2018-03-12,de havilland canada dhc-8-402q dash 8,S2-AGU,us-bangla airlines,51,Kathmandu,write-off,de havilland canada,dhc-8-402q dash 8,2018
2018-03-14,boeing 777-31her,A6-EGU,emirates,1,Entebbe,none,boeing,777-31her,2018
2018-03-15,cessna 208 caravan i,VH-PGA,west coast air services,0,Talbot Bay,write-off,cessna,208 caravan i,2018
2018-03-15,beechcraft b200 super king air,YV3284 ?,unknown,0,Blue Creek,write-off,beechcraft,b200 super king air,2018
2018-03-16,beechcraft c99 commuter,N213AV,ameriflight,0,Hastings,substantial,beechcraft,c99 commuter,2018
2018-03-17,canadair cl-600-2b19 regional jet crj-200er,C-FDJA,jazz aviation,0,Montreal,substantial,canadair,cl-600-2b19 regional jet crj-200er,2018
2018-03-20,de havilland canada dhc-6 twin otter 300,N716JP,bald mountain air services,0,Deadhorse,substantial,de havilland canada,dhc-6 twin otter 300,2018
2018-03-21,gulfstream v,N90JE,peyton holdings,0,Miami,none,gulfstream,v,2018
2018-03-22,airbus a320-232,,unknown,0,Cairns,none,airbus,a320-232,2018
2018-03-23,boeing 737-8k5 (wl),OK-TVP,smartwings,0,Budapest Ferenc Liszt,none,boeing,737-8k5 (wl),2018
2018-03-26,casa c-212 aviocar 200,N107BH,bighorn airways,0,Sheridan,substantial,casa,c-212 aviocar 200,2018
2018-03-26,casa c-212 aviocar,N217BH,bighorn airways,0,Sheridan,unknown,casa,c-212 aviocar,2018
2018-03-27,airbus a319-111,G-EZMK,easyjet,0,Murcia,substantial,airbus,a319-111,2018
2018-03-28,boeing 767-3q8er,4X-EAK,el al israel airlines,0,Tel Aviv,substantial,boeing,767-3q8er,2018
2018-03-28,boeing 737-76j (wl),D-ABLB,germania,0,Tel Aviv,substantial,boeing,737-76j (wl),2018
2018-03-29,beechcraft 99 airliner,N31TN,lake clark air,0,Pilot Point,substantial,beechcraft,99 airliner,2018
2018-03-29,atr 42-500,XA-UAV,aeromar,0,Mexico,substantial,atr,42-500,2018
2018-03-29,atr 72-600 (72-212a),XA-UYY,aeromar,0,Mexico,substantial,atr,72-600 (72-212a),2018
2018-03-29,fairchild sa227-dc metro 23,CP-2459,línea aérea amaszonas,0,Riberalta,substantial,fairchild,sa227-dc metro 23,2018
2018-03-30,antonov an-12bk,UR-KDM,cavok air,0,Gao,substantial,antonov,an-12bk,2018
2018-03-30,cessna 650 citation iii,N126MT,2m leasing,0,Orlando,substantial,cessna,650 citation iii,2018
2018-03-31,cessna 208b grand caravan,N9339B,skydive the ranch,0,Gardiner,substantial,cessna,208b grand caravan,2018
2018-04-02,cessna 525c citation cj4,N511AC,avis industrial corporation,2,Marion,substantial,cessna,525c citation cj4,2018
2018-04-04,dassault falcon 2000ex,XA-CDT,unknown,0,Houston,write-off,dassault falcon,2000ex,2018
2018-04-04,learjet 60,N759SH,henning aviation,0,Houston,write-off,learjet,60,2018
2018-04-04,cessna 560xl citation excel,N900WL,mtc enterprises,0,Houston,write-off,cessna,560xl citation excel,2018
2018-04-04,learjet 40xr,N626FX,union gas air ventures i,0,Houston,write-off,learjet,40xr,2018
2018-04-04,learjet 45xr,N618CW,erg holdings,0,Houston,write-off,learjet,45xr,2018
2018-04-05,antonov an-26,UP-AN607,mega aircompany,0,Wau,unknown,antonov,an-26,2018
2018-04-09,beechcraft 200 super king air,LN-NOA,airwing,0,Stavanger,substantial,beechcraft,200 super king air,2018
2018-04-09,boeing 737-9b5,HL7725,korean air,0,Osaka,substantial,boeing,737-9b5,2018
2018-04-11,cessna 208b grand caravan,N814GV,hageland aviation services,0,Atqasuk,substantial,cessna,208b grand caravan,2018
2018-04-11,ilyushin il-76td,7T-WIV,al quwwat al-jawwiya al-jaza'eriya,257,Boufarik Air Base,write-off,ilyushin,il-76td,2018
2018-04-12,cessna 208b grand caravan,5Y-SAV,penial air,0,El Barde,substantial,cessna,208b grand caravan,2018
2018-04-13,lockheed p-3c orion,158567,united states navy,0,Omaha,write-off,lockheed martin,p-3c orion,2018
2018-04-14,antonov an-74-200,EK-74036,ayk avia,0,Akola village,substantial,antonov,an-74-200,2018
2018-04-15,saab 340b,C-GTWK,transwest air,0,Prince Albert,substantial,saab,340b,2018
2018-04-15,de havilland canada dhc-6 twin otter 100,C-FSCA,transwest air,0,Prince Albert,substantial,de havilland canada,dhc-6 twin otter 100,2018
2018-04-15,bombardier cl-600-2b16 challenger 605,C-FXWT,morningstar partners,0,Winnipeg,substantial,bombardier,cl-600-2b16 challenger 605,2018
2018-04-15,cessna 550 citation bravo,N4AT,private,0,Winnipeg,substantial,cessna,550 citation bravo,2018
2018-04-15,cessna 525 citationjet,N525P,private,1,Crozet,write-off,cessna,525 citationjet,2018
2018-04-15,airbus a321-213,B-6555,air china,0,Zhengzhou,none,airbus,a321-213,2018
2018-04-16,cessna 525 citationjet cj1,D-ISWA,herbert waldmann lichttechnik gmbh & co kg,0,Le Touquet,substantial,cessna,525 citationjet cj1,2018
2018-04-17,de havilland canada dhc-8-402q dash 8,G-JECX,flybe,0,Newquay,substantial,de havilland canada,dhc-8-402q dash 8,2018
2018-04-17,boeing 737-7h4 (wl),N772SW,southwest airlines,1,Philadelphia,substantial,boeing,737-7h4 (wl),2018
2018-04-18,airbus a330-323,N806NW,delta airlines,0,Atlanta,substantial,airbus,a330-323,2018
2018-04-20,mcdonnell douglas md-83,N807WA,world atlantic airlines,0,Alexandria,substantial,mcdonnell douglas,md-83,2018
2018-04-23,antonov an-2r,HA-MBJ,szemp air kft,0,Eperjes area,substantial,antonov,an-2r,2018
2018-04-29,beechcraft 1900c,N172GA,alpine aviation,0,Sioux Falls,substantial,beechcraft,1900c,2018
2018-04-29,lockheed l-100-30 hercules,111,libyan air force,3,Sharara,write-off,lockheed martin,l-100-30 hercules,2018
2018-04-29,boeing 737-8gp (wl),PK-LOO,lion air,0,Gorontalo,substantial,boeing,737-8gp (wl),2018
2018-04-30,boeing 737-8as (wl),EI-GDZ,ryanair,0,London,substantial,boeing,737-8as (wl),2018
2018-05-01,boeing 767-332er (wl),N172DN,delta airlines,0,New York,minor,boeing,767-332er (wl),2018
2018-05-01,bombardier crj-900lr,N606LR,endeavor air,0,New York,substantial,bombardier,crj-900lr,2018
2018-05-02,boeing 737-8k5 (wl),OO-JAY,tui fly belgium,0,Marrakech,substantial,boeing,737-8k5 (wl),2018
2018-05-02,beechcraft c99 commuter,PNC0203,servicio aéreo de policia,4,Ibagué,write-off,beechcraft,c99 commuter,2018
2018-05-02,lockheed wc-130h hercules,65-0968,united states air force,9,Savannah,write-off,lockheed martin,wc-130h hercules,2018
2018-05-03,dassault falcon 900ex,ZS-DEX,blueport trade 121,0,Johannesburg,substantial,dassault falcon,900ex,2018
2018-05-04,cessna 525c citation cj4,EC-MOQ,aluminios cortizo,0,Santiago de Compostela,substantial,cessna,525c citation cj4,2018
2018-05-05,embraer kc-390,PT-ZNF,embraer,0,Gavião Peixoto,substantial,embraer,kc-390,2018
